"Source","Toggle Comment","Ctrl+7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.previous.member"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.previous"
"File","Rename","Alt+Shift+R","Project Explorer +","org.eclipse.ui.edit.rename"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.next.member"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows","org.eclipse.jdt.ui.edit.text.java.source.quickMenu"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.renameInFile.assist"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source","org.eclipse.jdt.ui.correction.assignToField.assist"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.remove.block.comment"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Run/Debug","Run","Ctrl+F11","In Windows","org.eclipse.debug.ui.commands.RunLast"
"STS4","Goto Symbol","Ctrl+6","In Dialogs and Windows","org.springframework.tooling.ls.eclipse.gotosymbol.command"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus","org.eclipse.tm.terminal.maximize"
"Navigate","Open Declaration","F3","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text","org.eclipse.quickdiff.toggle"
"Navigate","Open Type","Ctrl+Shift+T","In Windows","org.eclipse.jdt.ui.navigate.open.type"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows","org.eclipse.jdt.junit.junitShortcut.debug"
"Spring Generic Text Editor","Toggle Comment","Ctrl+/","Editing Text","org.springframework.tooling.boot.ls.ToggleComment"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Navigate","Quick Outline","Ctrl+O","PDE editor","org.eclipse.pde.ui.quickOutline"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.remove.block.comment"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.enclosing"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source","org.eclipse.jdt.ui.correction.extractMethodInplace.assist"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"YEdit","Toggle Comment","Ctrl+Shift+C","YEdit editor context","org.dadacoalition.yedit.commands.toggleComment"
"Language Servers","Format","Ctrl+Shift+F","Editing Text","org.eclipse.lsp4e.format"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Views","Show View","Alt+Shift+Q, Q","In Windows","org.eclipse.ui.views.showView"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Emmet","Expand Abbreviation","Ctrl+E","Editing Text","io.emmet.eclipse.commands.expand_abbreviation"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles","org.eclipse.ant.ui.openExternalDoc"
"Inline Search","Replace All","Alt+Shift+Enter","Inline Search is Active","com.genuitec.eclipse.inlinesearch.replaceall"
"Spy","Layout Spy","Ctrl+Alt+Shift+F9","In Dialogs and Windows","org.eclipse.tools.layout.spy.commands.layoutSpyCommand"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.surround.with.quickMenu"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.add.block.comment"
"Emmet","Split/Join Tag","Ctrl+U","Editing Text","io.emmet.eclipse.commands.split_join_tag"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows","org.eclipse.pde.ui.junitWorkbenchShortcut.debug"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus","org.eclipse.tm.terminal.paste"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows","org.eclipse.ui.views.showView"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Git","Rename Branch...","F2","In Git Repositories View","org.eclipse.egit.ui.team.RenameBranch"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Inline Search","Replace and Find Next","Alt+Shift+1","Inline Search is Active","com.genuitec.eclipse.inlinesearch.replaceone"
"Run/Debug","Terminate","Ctrl+F2","Debugging","org.eclipse.debug.ui.commands.Terminate"
"Text Editing","Move Lines Up","Alt+Up","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Inline Search","Close Replace Bar","Ctrl+Up","Inline Search is Active","com.genuitec.eclipse.inlinesearch.replace.toggle.close"
"Spring Generic Text Editor","Toggle Comment","Ctrl+Shift+C","Editing Text","org.springframework.tooling.boot.ls.ToggleComment"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Emmet","Update Image Size","Ctrl+Shift+U","Editing Text","io.emmet.eclipse.commands.update_image_size"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.editor.showCheatSheetCommand"
"Git","Commit...","Ctrl+#","In Windows","org.eclipse.egit.ui.team.Commit"
"Window","(Re)debug","Ctrl+Alt+Shift+B, D","In Windows","org.springframework.ide.eclipse.boot.dash.boot.dash.RedebugAction"
"Navigate","Previous Edit Location","Ctrl+Alt+Left","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Source","Correct Indentation","Ctrl+I","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.indent"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows","org.eclipse.pde.runtime.spy.commands.spyCommand"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows","org.eclipse.ui.views.showView"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows","org.eclipse.ui.navigate.openResource"
"Emmet","Wrap With Abbreviation...","Ctrl+Shift+A","Editing Text","io.emmet.eclipse.commands.wrap_with_abbreviation"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.run"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.run"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows","org.eclipse.tm.terminal.connector.local.command.launch"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Text Editing","Delete Line","Ctrl+D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows","org.eclipse.ui.views.showView"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Run/Debug","Trigger Restart","Ctrl+R","In I/O Console","org.springframework.ide.eclipse.boot.restart.commands.restart"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggleMarkOccurrences"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.next"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus","org.eclipse.tm.terminal.copy"
"Source","Add Text Block","Ctrl+Shift+'","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.textblock"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source","org.eclipse.jdt.ui.edit.text.java.annotate.classFile"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"File","Rename","Alt+Shift+R","In Windows","org.eclipse.ui.edit.rename"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View","org.eclipse.debug.ui.commands.nextMemoryBlock"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.last"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Navigate","Backward History","Alt+Left","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Emmet","Next Edit Point","Ctrl+Alt+]","Editing Text","io.emmet.eclipse.commands.next_edit_point"
"Emmet","Encode/Decode Data:URL","Alt+Shift+I","Editing Text","io.emmet.eclipse.commands.encode_decode_data_url"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows","org.eclipse.tm.terminal.view.ui.command.launchToolbar"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.remove.occurrence.annotations"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source","org.eclipse.jdt.ui.navigate.java.open.structure"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.add.javadoc.comment"
"Source","Format","Ctrl+Shift+F","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.format"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"Source","Toggle Comment","Ctrl+7","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.method"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View","org.eclipse.wst.jsdt.ui.navigate.open.type.in.hierarchy"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows","org.eclipse.jdt.debug.ui.localJavaShortcut.run"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows","org.eclipse.jdt.debug.ui.localJavaShortcut.debug"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Emmet","Match Pair Inward","Ctrl+Shift+D","Editing Text","io.emmet.eclipse.commands.match_pair_inward"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"Navigate","Next Edit Location","Ctrl+Alt+Right","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.references.in.workspace"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Resume","F8","Debugging","org.eclipse.debug.ui.commands.Resume"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows","org.eclipse.pde.ui.EquinoxLaunchShortcut.run"
"Views","Show View","Alt+Shift+Q, D","In Windows","org.eclipse.ui.views.showView"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Window","Open Config","Ctrl+Alt+Shift+B, F","In Windows","org.springframework.ide.eclipse.boot.dash.boot.dash.OpenLaunchConfigAction"
"Refactor - Java","Inline","Alt+Shift+I","In Windows","org.eclipse.jdt.ui.edit.text.java.inline"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows","org.eclipse.pde.ui.junitWorkbenchShortcut.run"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.indent"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows","org.eclipse.ui.views.showView"
"Uncategorized","Copy Commit Id","Ctrl+C","In Git Reflog View","org.eclipse.egit.ui.internal.reflog.CopyCommand"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows","org.eclipse.pde.runtime.spy.commands.menuSpyCommand"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows","org.eclipse.pde.ui.searchTargetRepositories"
"Server","Stop","Ctrl+Alt+S","In Servers View","org.eclipse.wst.server.stop"
"Window","Update Maven Project","Alt+F5","In Windows","org.eclipse.m2e.core.ui.command.updateProject"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows","org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Server","Publish","Ctrl+Alt+P","In Servers View","org.eclipse.wst.server.publish"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.quick_outline"
"Run/Debug","Run to Line","Ctrl+R","Debugging","org.eclipse.debug.ui.commands.RunToLine"
"Edit","Rename","Alt+Shift+R","Editing JSP Source","org.eclipse.jst.jsp.ui.refactor.rename"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.debug"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows","org.eclipse.ui.views.showView"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Inline Search","Close Inline Search","Esc","Editing Text","com.genuitec.eclipse.inlinesearch.commands.hideFindReplaceBarCommand"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Emmet","Merge Lines","Ctrl+M","Editing Text","io.emmet.eclipse.commands.merge_lines"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows","org.eclipse.jdt.debug.ui.commands.AllInstances"
"Navigate","Open Type Hierarchy","F4","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.type.hierarchy"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"Run/Debug","Step Into","F5","Debugging","org.eclipse.debug.ui.commands.StepInto"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows","org.eclipse.pde.ui.EquinoxLaunchShortcut.debug"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Git","Collapse Working Tree","Ctrl+Left","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCollapseWorkingTree"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows","org.eclipse.jdt.ui.edit.text.java.rename.element"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.debug"
